ticker,asset_name,sector,exchange,currency,beta,dividend_yield,trailingpe,pricetobook,fcf_yield,revenuegrowth,earningsgrowth,forwardeps,payoutratio,asset_type,value_score,growth_score,dividend_score
SIE.DE,SIEMENS AG                    N,Industrials,GER,EUR,1.185,2.12,25.129353,3.0087683,0.0401941093297898,0.043,-0.446,12.62144,0.5179,Equity,-0.7922091549608749,-0.7980618051953796,0.04108046982873032
NESN.SW,NESTLE N,Consumer Defensive,EBS,CHF,0.516,3.92,22.521368,6.19757,0.0306804329020165,-0.022,-0.24,4.68844,0.8689,Equity,0.3177584093492269,-1.2674539939583689,0.0157670426335411
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Healthcare,LSE,GBp,0.275,1.69,27.682281,5.9994826,0.0310209120399392,0.125,0.053,8.581371,0.477,Equity,-1.373889957594178,-0.044541089935793365,0.027418453524741062
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,Financial Services,LSE,GBp,0.555,4.12,15.25618,1.7739902,,0.584,23.979,1.3513488,0.5345,Equity,,8.666930913176614,
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Technology,TAI,TWD,1.251,1.12,28.984522,9.398456,0.0130328340031943,0.351,0.584,120.76629,0.2785,Equity,-2.0818871885442074,1.852708649948026,0.010531572501301252
7203.T,TOYOTA MOTOR CORP,Consumer Cyclical,JPX,JPY,0.357,3.14,10.557432,1.0032194,-0.0014676374760135,0.086,-0.423,324.22,0.3343,Equity,1.8019289348480014,-0.4536728398951798,-0.0030677996808360667
BABA,Alibaba Group Holding Limited,Consumer Cyclical,NYQ,USD,0.489,0.8,23.250885,2.0092552,-0.0804347441652126,0.017,-0.709,7.424126,0.19450001,Equity,-3.396777693901816,-1.0592630923695716,-0.05183214849658504
TCEHY,Tencent Holding Ltd.,Communication Services,PNK,USD,0.8,1.11,17.314447,3.2606137,0.2521719600739939,0.127,0.141,5.024707,0.1708,Equity,3.0133948444064824,-0.010038517384380996,0.23210209811562488
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,NSI,INR,0.22,0.38,24.069729,2.215639,0.0024566926116558,0.125,-0.126,72.22124,0.0921,Equity,-2.338941873682523,-0.08260290142609544,0.0008475638644064744
VALE,VALE S.A.,Basic Materials,NYQ,USD,0.889,7.69,24.401514,1.8660975,0.1543400821402873,0.027,0.22,2.13667,1.205,Equity,4.384751272602103,-0.7827713144239193,-0.243309422490056
BHP,BHP Group Limited,Basic Materials,NYQ,USD,0.798,3.35,19.61042,3.9797564,0.040530902883472,0.108,0.275,5.23321,0.5464,Equity,0.47394945868469324,-0.13155621279266957,0.06158913878560871
