asset_id,ticker,date,Open,High,Low,Close,Volume,return_3m,return_6m,momentum_score,returns,volatility,low_vol_score
ETH-USD_2017-11-09,ETH-USD,2017-11-09,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,893249984.0,,,,,,
ETH-USD_2017-11-10,ETH-USD,2017-11-10,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,885985984.0,,,,-0.0674106897877614,,
ETH-USD_2017-11-11,ETH-USD,2017-11-11,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,842300992.0,,,,0.0515550704971954,,
ETH-USD_2017-11-12,ETH-USD,2017-11-12,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,1613479936.0,,,,-0.0215234166001792,,
ETH-USD_2017-11-13,ETH-USD,2017-11-13,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,1041889984.0,,,,0.0286059934016742,,
ETH-USD_2017-11-14,ETH-USD,2017-11-14,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,1069680000.0,,,,0.0660371068061262,,
ETH-USD_2017-11-15,ETH-USD,2017-11-15,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,722665984.0,,,,-0.0126588411092228,,
ETH-USD_2017-11-16,ETH-USD,2017-11-16,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,797254016.0,,,,-0.0072984321242334,,
ETH-USD_2017-11-17,ETH-USD,2017-11-17,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,621732992.0,,,,0.0044421110914172,,
ETH-USD_2017-11-18,ETH-USD,2017-11-18,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,649638976.0,,,,0.0457829758975647,,
ETH-USD_2017-11-19,ETH-USD,2017-11-19,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,1181529984.0,,,,0.019487206500125,,
ETH-USD_2017-11-20,ETH-USD,2017-11-20,354.093994140625,372.1369934082031,353.2890014648437,366.7300109863281,807027008.0,,,,0.0348321466830627,,
