asset_id,ticker,date,Open,High,Low,Close,Volume,return_3m,return_6m,momentum_score,returns,volatility,low_vol_score
BTC-USD_2014-09-17,BTC-USD,2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,21056800.0,,,,,,
BTC-USD_2014-09-18,BTC-USD,2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,34483200.0,,,,-0.0719255760123116,,
BTC-USD_2014-09-19,BTC-USD,2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700.0,,,,-0.0698426450868383,,
BTC-USD_2014-09-20,BTC-USD,2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,36863600.0,,,,0.0357349164294535,,
BTC-USD_2014-09-21,BTC-USD,2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100.0,,,,-0.0246585445473928,,
BTC-USD_2014-09-22,BTC-USD,2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600.0,,,,0.0083521016497065,,
BTC-USD_2014-09-23,BTC-USD,2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500.0,,,,0.0836474178342121,,
BTC-USD_2014-09-24,BTC-USD,2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,30627700.0,,,,-0.0288808143473959,,
BTC-USD_2014-09-25,BTC-USD,2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400.0,,,,-0.0274830916797962,,
BTC-USD_2014-09-26,BTC-USD,2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,21460800.0,,,,-0.0173699437887947,,
BTC-USD_2014-09-27,BTC-USD,2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300.0,,,,-0.0121283276932627,,
BTC-USD_2014-09-28,BTC-USD,2014-09-28,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,23613300.0,,,,-0.0559145721668711,,
BTC-USD_2014-09-29,BTC-USD,2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700.0,,,,-0.0045442089048014,,
BTC-USD_2014-09-30,BTC-USD,2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300.0,,,,0.0305672387325581,,
