date,AAPL,ASML.AS,BABA,BNDX,BRK-B,EMB,ETH-USD,IBGL.L,IEF,JNJ,JNK,JPM,MC.PA,MUB,NESN.SW,PA=F,RELIANCE.NS,SHY,TIP,TLT
1962-01-03,,,,,,,,,,-0.015547491931372392,,,,,,,,,,
1962-01-04,,,,,,,,,,-0.010522635999937413,,,,,,,,,,
1962-01-05,,,,,,,,,,-0.01596098564217352,,,,,,,,,,
1962-01-08,,,,,,,,,,-0.016215208064387032,,,,,,,,,,
1962-01-09,,,,,,,,,,0.010989896400399823,,,,,,,,,,
1962-01-10,,,,,,,,,,0.02174086296911404,,,,,,,,,,
1962-01-11,,,,,,,,,,-0.005321857974353472,,,,,,,,,,
1962-01-12,,,,,,,,,,-0.0106960505296253,,,,,,,,,,
1962-01-15,,,,,,,,,,0.0,,,,,,,,,,
1962-01-16,,,,,,,,,,-0.005403515120725677,,,,,,,,,,
1962-01-17,,,,,,,,,,0.005432871725242094,,,,,,,,,,
1962-01-18,,,,,,,,,,-0.008107604032193794,,,,,,,,,,
1962-01-19,,,,,,,,,,0.010900066365679084,,,,,,,,,,
1962-01-22,,,,,,,,,,-0.010782536007605814,,,,,,,,,,
1962-01-23,,,,,,,,,,-0.008173874570620687,,,,,,,,,,
1962-01-24,,,,,,,,,,-0.002748658988870667,,,,,,,,,,
1962-01-25,,,,,,,,,,-0.002751482320401122,,,,,,,,,,
1962-01-26,,,,,,,,,,-0.0027638395945915883,,,,,,,,,,
1962-01-29,,,,,,,,,,0.01385271893480744,,,,,,,,,,
1962-01-30,,,,,,,,,,-0.005467262696231767,,,,,,,,,,
1962-01-31,,,,,,,,,,0.02197979280079987,,,,,,,,,,
1962-02-01,,,,,,,,,,0.008063992526646357,,,,,,,,,,
1962-02-02,,,,,,,,,,0.04800150897139677,,,,,,,,,,
1962-02-05,,,,,,,,,,0.0432570756453865,,,,,,,,,,
1962-02-06,,,,,,,,,,0.04389954488683667,,,,,,,,,,
1962-02-07,,,,,,,,,,0.009346547819951923,,,,,,,,,,
1962-02-08,,,,,,,,,,-0.011575996875763161,,,,,,,,,,
1962-02-09,,,,,,,,,,-0.0023390817694476373,,,,,,,,,,
1962-02-12,,,,,,,,,,-0.00939041286579112,,,,,,,,,,
1962-02-13,,,,,,,,,,-0.00947942861421025,,,,,,,,,,
1962-02-14,,,,,,,,,,-0.028706317183601948,,,,,,,,,,
1962-02-15,,,,,,,,,,0.0,,,,,,,,,,
1962-02-16,,,,,,,,,,-0.004928620245091553,,,,,,,,,,
1962-02-19,,,,,,,,,,-0.0074252774926663045,,,,,,,,,,
1962-02-20,,,,,,,,,,-0.01745669169435926,,,,,,,,,,
1962-02-21,,,,,,,,,,-0.025380577299172757,,,,,,,,,,
1962-02-23,,,,,,,,,,-0.010417509048776474,,,,,,,,,,
1962-02-26,,,,,,,,,,0.02105435200002881,,,,,,,,,,
1962-02-27,,,,,,,,,,0.012888740912038621,,,,,,,,,,
1962-02-28,,,,,,,,,,-0.012724735098183837,,,,,,,,,,
1962-03-01,,,,,,,,,,0.0025786374592751127,,,,,,,,,,
1962-03-02,,,,,,,,,,-0.005144010380691344,,,,,,,,,,
1962-03-05,,,,,,,,,,0.0025853040210670475,,,,,,,,,,
