asset,rows,accuracy,precision,recall,specificity,auc,oob_score,prob_up_last,last_date,last_close,prediction
IBGL.L,4264,0.22860492379835873,0.12749003984063745,0.9896907216494846,0.13095238095238096,0.33753340969835816,0.9744942832014072,0.68,2026-05-01,141.39999389648438,UP
SHY,5613,0.5146927871772039,0.4749518304431599,1.0,0.1349206349206349,0.24337068160597575,0.96815144766147,0.66,2026-05-01,82.2332992553711,UP
ZC=F,6088,0.7397372742200329,0.3014705882352941,0.155893536121673,0.900523560209424,0.6516911193836721,0.9599589322381931,0.6,2026-05-01,476.5,NO_UP
AZN.L,8063,0.6453812771233726,0.6493078444297956,0.9609756097560975,0.09523809523809523,0.5986419445827111,0.9683720930232558,0.57,2026-05-01,13576.0,NO_UP
LINK-USD,2731,0.7385740402193784,0.0949367088607595,1.0,0.731203007518797,0.9833333333333333,0.9798534798534798,0.56,2026-05-01,9.222000122070312,NO_UP
PG,15826,0.5915982312065698,0.6079195066536839,0.95658835546476,0.0,0.37584028675023173,0.9778041074249605,0.56,2026-05-01,148.00999450683594,NO_UP
AMZN,6921,0.6483754512635379,0.603448275862069,0.7076205287713841,0.5970350404312669,0.7640073694315309,0.9857297687861272,0.51,2026-05-01,264.04998779296875,NO_UP
VTC,1764,0.5495750708215298,0.0,0.0,0.5495750708215298,,0.9617292700212615,0.49,2026-05-01,76.55999755859375,NO_UP
BTC-USD,3880,0.8350515463917526,0.7354085603112841,0.7590361445783133,0.8709677419354839,0.8409844310829657,0.9945231958762887,0.46,2026-05-01,78175.0,NO_UP
GC=F,6076,0.40707236842105265,0.9494949494949495,0.11604938271604938,0.9876847290640394,0.7884130024934622,0.9790123456790123,0.45,2026-05-01,4604.0,NO_UP
UNH,10100,0.6782178217821783,0.6752021563342318,0.8564102564102564,0.4329411764705882,0.6522921065862243,0.9853960396039604,0.38,2026-05-01,369.68499755859375,NO_UP
XOM,15826,0.48073278584965257,0.4174364896073903,0.53240058910162,0.44192477876106195,0.5090959668695505,0.980173775671406,0.36,2026-05-01,153.10000610351562,NO_UP
SAP.DE,6814,0.6104181951577403,0.6688172043010753,0.45203488372093026,0.7718518518518519,0.620297157622739,0.9713813979086406,0.32,2026-04-30,145.5,NO_UP
SAN.MC,6394,0.45426114151681,0.7914691943127962,0.20341047503045068,0.9039301310043668,0.5925966310123452,0.9843597262952102,0.29,2026-04-30,10.380000114440918,NO_UP
7203.T,6379,0.6520376175548589,0.7317073170731707,0.43902439024390244,0.8502269288956127,0.7291846549327823,0.9731530472271213,0.26,2026-05-01,3000.0,NO_UP
MSFT,9747,0.5015384615384615,0.9846547314578005,0.2849740932642487,0.989983305509182,0.6424975501977759,0.9776837245094268,0.22,2026-05-01,415.3991088867188,NO_UP
VALE,5703,0.3531989482909728,0.21932681867535286,0.9140271493212669,0.2184782608695652,0.6521616171552232,0.9848750548005261,0.15,2026-05-01,16.184999465942383,NO_UP
HG=F,6081,0.5324568611339359,1.0,0.02901023890784983,1.0,0.7427575818220171,0.9825246710526315,0.13,2026-05-01,5.96999979019165,NO_UP
TSLA,3620,0.7430939226519337,0.9882352941176471,0.4772727272727273,0.9946236559139785,0.9604181940371457,0.9651243093922652,0.12,2026-05-01,382.4249877929688,NO_UP
SIE.DE,7183,0.39944328462073764,1.0,0.021541950113378686,1.0,0.7598966313252027,0.9752871562826314,0.1,2026-04-30,252.5500030517578,NO_UP
SI=F,6078,0.40460526315789475,1.0,0.0041265474552957355,1.0,0.7706053113475835,0.983957219251337,0.1,2026-05-01,75.33999633789062,NO_UP
SOL-USD,1848,1.0,0.0,0.0,1.0,,0.9715832205683356,0.09,2026-05-01,84.31999969482422,NO_UP
2330.TW,6179,0.63915857605178,1.0,0.2603648424543947,1.0,0.7950728191585515,0.9811855148695124,0.06,2026-04-30,2135.0,NO_UP
BHP,11261,0.7492232578783844,0.7411167512690355,0.771806167400881,0.7262969588550984,0.8044415373582467,0.9730239786856127,0.03,2026-05-01,79.07499694824219,NO_UP
NG=F,6082,0.905505341002465,0.8769230769230769,0.8361858190709046,0.9405940594059405,0.9716799002638651,0.9632065775950668,0.03,2026-05-01,2.7809998989105225,NO_UP
KC=F,6236,0.5785256410256411,0.9387755102040817,0.08084358523725835,0.9955817378497791,0.7237654360930863,0.9757417802726543,0.02,2026-05-01,283.95001220703125,NO_UP
BZ=F,4303,0.570267131242741,0.03389830508474576,0.10526315789473684,0.6279373368146214,0.40991480005496767,0.979081929110982,0.01,2026-05-01,109.4000015258789,NO_UP
ITX.MC,6031,0.6586578293289147,0.8319148936170213,0.5400552486187845,0.8364389233954451,0.7559237843588071,0.9792703150912107,0.01,2026-04-30,50.58000183105469,NO_UP
IBE.MC,6394,0.382329945269742,0.9821428571428571,0.06516587677725119,0.9977011494252873,0.8759928092825625,0.9726295210166178,0.01,2026-04-30,19.950000762939453,NO_UP
HSBA.L,9335,0.8666309587573647,0.8874458874458875,0.8959790209790209,0.8201936376210235,0.8848807658454962,0.9769683985002678,0.0,2026-05-01,1344.800048828125,NO_UP
TCEHY,3740,0.9171122994652406,0.8848920863309353,0.9634464751958225,0.8684931506849315,0.9827676240208877,0.9893048128342246,0.0,2026-04-30,61.02000045776367,NO_UP
