ticker,dividend_score,growth_score,value_score,low_vol_score,momentum_score
BTC-USD,,,,-0.022815968345387,0.041027772102567
ETH-USD,,,,-0.0300700321656379,-0.0081327541526634
SOL-USD,,,,-0.0278800325005117,-0.1405296781886443
LINK-USD,,,,-0.0276654930637519,-0.0918726164466236
GC=F,,,,-0.0204691208784054,0.0661977609772248
SI=F,,,,-0.0407448009407028,0.2705396495855191
BZ=F,,,,-0.0495082846897334,0.6163766005048275
NG=F,,,,-0.0444339388657626,-0.2687605557074423
HG=F,,,,-0.0168236536874695,0.0765535649028846
ZC=F,,,,-0.0095191877719901,0.1052970507450481
KC=F,,,,-0.0219104690984795,-0.2092999777658262
PA=F,,,,-0.0299012187770044,-0.0088226620027574
TLT,,,,-0.0064371485733579,-0.0409045373512227
IEF,,,,-0.0035637939367943,-0.0182218476852059
SHY,,,,-0.001314765803612,-0.0088193024815224
TIP,,,,-0.0023161942192249,0.0028116151012227
BNDX,,,,-0.0029843006185015,-0.0248749321933856
EMB,,,,-0.0048663304996247,-0.0094729896907796
VTC,,,,-0.0034557234052519,-0.0231132182521344
JNK,,,,-0.0034339568336821,-0.0129441093772669
IBGL.L,,,,-0.0074238770821071,-0.039324357306042
BTP.MI,,,,,
MUB,,,,-0.0024060737750731,-0.0068593144368589
AAPL,0.0079753666922559,0.3142515410407567,-2.6524720033374307,-0.0169406286633679,0.0660273604969821
MSFT,0.008474861281168,0.4518739886724479,-1.937929510678103,-0.0189368407834724,-0.1337753836289441
AMZN,,0.0416694155451471,,-0.0207668599541303,0.1249872543540072
JNJ,0.0210630206473867,-0.3735732031737079,-1.0623165073822611,-0.0102816073345879,0.1158764659372303
JPM,,-0.0034468070145521,,-0.015078871315838,0.022146252702984
XOM,0.0206909347916117,-1.1687535451665123,-0.6248652394952974,-0.0189333493995104,0.1987357581240255
PG,0.0408297665628647,-0.4461387344566437,-0.0877141205505071,-0.0131503024863357,-0.0149415077767715
TSLA,,0.2223832234239092,,-0.0237787812553487,-0.1414241012440268
UNH,0.0428616326826128,-0.8833299156076128,-0.6229301093220706,-0.0222279410780508,0.1645096732299452
BRK-B,,-1.1033076390025776,,-0.0106372797439313,-0.0068665016627585
SAN.MC,,-0.5277183250720011,,-0.026567519651419,0.0663756437187589
ITX.MC,0.0190269132165514,-0.6749456663524471,-1.3906859472489137,-0.0180110014789607,-0.0187167893938534
IBE.MC,-0.0100720576507224,0.1870872909600255,-0.9819514054288216,-0.0115019630849596,0.0938541959737641
MC.PA,0.0611504651705855,-1.416781055677053,0.2722247918009288,-0.0182381795412131,-0.2191482497976928
SAP.DE,0.0514017404838317,-0.5492308245501242,-0.7446069759173685,-0.0245495496951463,-0.2492215051706623
ASML.AS,0.0114430864157637,0.0402824606876635,-2.798878783952344,-0.0267446100374106,0.1775330628778079
SIE.DE,0.0410804698287303,-0.7980618051953796,-0.7922091549608749,-0.0276898861229946,0.0050071980395315
NESN.SW,0.0157670426335411,-1.2674539939583689,0.3177584093492269,-0.0150337266334825,0.0312855781346292
AZN.L,0.027418453524741,-0.0445410899357933,-1.373889957594178,-0.0166953952264888,0.0401665869599873
HSBA.L,,8.666930913176614,,-0.0223555473690296,0.1558695658282102
2330.TW,0.0105315725013012,1.852708649948026,-2.0818871885442074,-0.0223249397336248,0.342740987460815
7203.T,-0.003067799680836,-0.4536728398951798,1.8019289348480012,-0.0224132988718289,-0.0665576216773602
BABA,-0.051832148496585,-1.0592630923695716,-3.396777693901816,-0.0224822861061694,-0.245461225368343
TCEHY,0.2321020981156248,-0.0100385173843809,3.0133948444064824,-0.0236103695511091,-0.2515450009767181
RELIANCE.NS,0.0008475638644064,-0.0826029014260954,-2.338941873682523,-0.0161972885930457,0.0089599214333996
VALE,-0.243309422490056,-0.7827713144239193,4.384751272602103,-0.025382397934524,0.187644004682722
BHP,0.0615891387856087,-0.1315562127926695,0.4739494586846932,-0.0237122495217413,0.2574096748801278
